metric,full_compass_mean,full_compass_stdev,ablation_2_mean,ablation_2_stdev,delta_mean
Total Evidence Items,7.4,2.2297,10.6,1.7238,3.2
Requirements Matched,4,0.5345,5,0.8452,1.0
Mean Student Level (gap items),0.6266,0.075,0.0,0.0,-0.6266
item_type:claim,3.5333,1.4573,10.6,1.7238,7.0667
item_type:coursework,2,0.5345,0,0,-2
item_type:experience,0.8667,0.3519,0,0,-0.8667
item_type:project,1,0.0,0,0,-1
gap_type:claimed_only,0.6667,0.488,5,0.8452,4.3333
gap_type:met,0.7333,0.5936,0,0,-0.7333
gap_type:no_evidence,4,0.5345,2.9333,0.7988,-1.0667
gap_type:optional_gap,0.4,0.5071,0,0,-0.4
gap_type:partial,2.2,0.414,0,0,-2.2
rubric:feasibility,4.8,0.7746,5,0.0,0.2
rubric:gap_coverage,4.3333,0.6172,4.0667,0.2582,-0.2666
rubric:jit_compliance,4.5333,0.6399,4.6,0.6325,0.0667
rubric:level_appropriateness,4.8667,0.3519,4.8,0.414,-0.0667
