metric,full_compass,ablation_2,delta
Total Evidence Items,10,0,-10.0
Requirements Matched,4,0,-4.0
Total Gaps,8,8,0.0
Mean Confidence Score,0.122,0.0,-0.122
Stdev Confidence Score,0.0791,0.0,-0.0791
Confidence Reason Population Rate,1.0,0.0,-1.0
Student Reasoning Population Rate,0.5,0.0,-0.5
Rubric Mean Score,4.75,4.75,0.0
item_type:claim,7,0,-7
item_type:coursework,2,0,-2
item_type:experience,1,0,-1
gap_type:claimed_only,4,0,-4
gap_type:no_evidence,4,8,4
rubric:feasibility,5,5,0.0
rubric:gap_coverage,5,5,0.0
rubric:jit_compliance,4,4,0.0
rubric:level_appropriateness,5,5,0.0
