metric,full_compass,ablation_2,delta
Total Evidence Items,10,0,-10.0
Requirements Matched,5,0,-5.0
Total Gaps,8,9,1.0
Mean Confidence Score,0.265,0.0,-0.265
Stdev Confidence Score,0.0973,0.0,-0.0973
Confidence Reason Population Rate,1.0,0.0,-1.0
Student Reasoning Population Rate,0.625,0.0,-0.625
Rubric Mean Score,4.5,4.75,0.25
item_type:claim,7,0,-7
item_type:coursework,2,0,-2
item_type:experience,1,0,-1
gap_type:claimed_only,3,0,-3
gap_type:no_evidence,3,9,6
gap_type:partial,2,0,-2
rubric:feasibility,5,5,0.0
rubric:gap_coverage,4,4,0.0
rubric:jit_compliance,4,5,1.0
rubric:level_appropriateness,5,5,0.0
